,X,Y,Z
442,9.375,3.0625,1.86
443,2.575,5.845,2.068
444,0.0,3.0625,1.79
445,8.175,5.125,1.2725
446,8.555,5.125,1.5575
447,8.575,5.625,0.86
448,8.055,5.125,1.1825
449,0.535,5.845,0.1504
450,9.375,3.0625,0.83
451,9.375,3.0625,1.13
452,7.475,5.125,0.7475
453,7.325,5.125,0.635
454,8.425,5.125,1.46
455,9.375,3.0625,1.52
456,9.375,3.0625,1.78
457,8.575,5.625,1.16
458,8.475,5.125,1.4975
459,8.815,5.125,1.7525
460,2.015,5.845,1.5416
461,8.575,5.625,1.07
462,0.675,5.845,0.282
463,8.715,5.125,1.6775
464,0.385,5.845,0.0094
465,8.575,5.625,1.12
466,7.025,5.125,0.41
467,2.075,5.845,1.598
468,0.0,3.0625,1.81
469,8.575,5.625,0.46
470,0.0,3.0625,1.18
471,1.285,5.845,0.8554
472,8.575,5.625,1.43
473,8.575,5.625,0.93
474,8.995,5.125,1.8875
475,0.0,3.0625,1.63
476,8.505,5.125,1.52
477,7.635,5.125,0.8675
478,0.0,3.0625,1.78
479,2.395,5.845,1.8988
480,8.575,5.625,1.58
481,8.575,5.625,0.8
482,9.375,3.0625,0.78
483,7.565,5.125,0.815
484,7.485,5.125,0.755
485,2.615,5.845,2.1056
486,9.375,3.0625,0.59
487,8.575,5.625,0.39
488,9.375,3.0625,1.31
489,8.905,5.125,1.82
490,8.665,5.125,1.64
491,0.0,3.0625,1.16
492,7.955,5.125,1.1075
493,0.805,5.845,0.4042
494,0.0,3.0625,1.57
495,9.375,3.0625,1.84
496,0.435,5.845,0.0564
497,2.855,5.845,2.3312
498,8.575,5.625,0.4
499,0.885,5.845,0.4794
500,7.875,5.125,1.0475
501,7.125,5.125,0.485
502,9.375,3.0625,1.16
503,0.545,5.845,0.1598
504,1.585,5.845,1.1374
505,8.575,5.625,0.82
506,1.795,5.845,1.3348
507,0.695,5.845,0.3008
508,8.575,5.625,0.45
509,0.915,5.845,0.5076
510,0.0,3.0625,1.82
511,0.0,3.0625,1.72
512,0.0,3.0625,1.26
513,8.575,5.625,0.59
514,1.535,5.845,1.0904
515,8.575,5.625,1.41
516,8.275,5.125,1.3475
517,0.975,5.845,0.564
518,7.395,5.125,0.6875
519,9.375,3.0625,1.85
520,1.835,5.845,1.3724
521,8.575,5.625,0.65
522,0.405,5.845,0.0282
523,0.0,3.0625,1.46
524,2.645,5.845,2.1338
525,0.0,3.0625,1.06
526,0.0,3.0625,1.54
527,0.905,5.845,0.4982
528,2.805,5.845,2.2842
529,8.575,5.625,0.94
530,8.565,5.125,1.565
531,8.575,5.625,1.21
532,0.0,3.0625,1.49
533,9.375,3.0625,1.87
534,0.0,3.0625,1.14
535,1.055,5.845,0.6392
536,0.0,3.0625,1.69
537,8.575,5.625,1.81
538,9.375,3.0625,0.89
539,2.775,5.845,2.256
540,0.0,3.0625,1.86
541,7.225,5.125,0.56
542,2.045,5.845,1.5698
543,7.885,5.125,1.055
544,9.375,3.0625,1.57
545,9.375,3.0625,1.06
546,8.575,5.625,0.42
547,1.805,5.845,1.3442
548,0.0,3.0625,1.8
549,7.365,5.125,0.665
550,9.375,3.0625,0.65
551,8.575,5.625,1.28
552,7.995,5.125,1.1375
553,7.245,5.125,0.575
554,0.985,5.845,0.5734
555,8.745,5.125,1.7
556,0.0,3.0625,1.13
557,8.395,5.125,1.4375
558,2.585,5.845,2.0774
559,2.745,5.845,2.2278
560,0.0,3.0625,1.07
561,0.465,5.845,0.0846
562,8.605,5.125,1.595
563,8.685,5.125,1.655
564,7.005,5.125,0.395
565,8.135,5.125,1.2425
566,9.375,3.0625,1.46
567,2.595,5.845,2.0868
568,0.935,5.845,0.5264
569,7.335,5.125,0.6425
570,9.085,5.125,1.955
571,7.835,5.125,1.0175
572,8.575,5.625,0.75
573,9.375,3.0625,0.5
574,8.575,5.625,0.99
575,8.345,5.125,1.4
576,9.375,3.0625,0.66
577,8.855,5.125,1.7825
578,2.555,5.845,2.0492
579,8.575,5.625,1.24
580,2.295,5.845,1.8048
581,0.0,3.0625,1.02
582,9.375,3.0625,1.54
583,9.375,3.0625,0.72
584,1.725,5.845,1.269
585,8.575,5.625,1.48
586,9.375,3.0625,1.91
587,1.575,5.845,1.128
588,8.575,5.625,0.71
589,1.365,5.845,0.9306
590,8.105,5.125,1.22
591,8.335,5.125,1.3925
592,7.675,5.125,0.8975
593,8.575,5.625,0.95
594,1.025,5.845,0.611
595,0.0,3.0625,1.93
596,7.515,5.125,0.7775
597,8.575,5.625,1.49
598,1.245,5.845,0.8178
599,1.995,5.845,1.5228
600,0.505,5.845,0.1222
601,8.575,5.625,1.79
602,9.375,3.0625,0.71
603,9.375,3.0625,1.41
604,2.865,5.845,2.3406
605,8.145,5.125,1.25
606,9.375,3.0625,0.56
607,8.575,5.625,0.85
608,1.275,5.845,0.846
609,8.575,5.625,1.06
610,9.375,3.0625,1.17
611,2.605,5.845,2.0962
612,9.145,5.125,2.0
613,8.575,5.625,0.91
614,1.225,5.845,0.799
615,0.0,3.0625,1.2
616,1.045,5.845,0.6298
617,8.185,5.125,1.28
618,1.165,5.845,0.7426
619,0.515,5.845,0.1316
620,2.165,5.845,1.6826
621,7.785,5.125,0.98
622,2.415,5.845,1.9176
623,7.845,5.125,1.025
624,7.195,5.125,0.5375
625,7.055,5.125,0.4325
626,1.305,5.845,0.8742
627,8.975,5.125,1.8725
628,7.495,5.125,0.7625
629,0.835,5.845,0.4324
